2019-02-05 21:27:14.615118,time,altitude,velocity,acceleration
2019-02-05 21:27:14.658617,3.4,104.24021916834053,26.593939997262456,-9.954869915479646
2019-02-05 21:27:14.658651,3.44,105.30397676823102,26.19574520064327,-9.950855765547326
2019-02-05 21:27:14.658684,3.48,106.35180657625675,25.797710970021377,-9.946873053086316
2019-02-05 21:27:14.658718,3.52,107.3837150150576,25.399836047897924,-9.942921529580746
2019-02-05 21:27:14.658752,3.56,108.39970845697351,25.002119186714694,-9.939001009386164
2019-02-05 21:27:14.658787,3.6,109.3997932244421,24.60455914633925,-9.935111371363957
2019-02-05 21:27:14.658821,3.64,110.38397559029568,24.20715469148469,-9.93125256050925
2019-02-05 21:27:14.658856,3.68,111.35226177795506,23.80990458906432,-9.927424589572464
2019-02-05 21:27:14.658897,3.72,112.30465796151763,23.412807605481422,-9.923627540674746
2019-02-05 21:27:14.658937,3.7600000000000002,113.2411702657369,23.015862503854432,-9.919861566917552
2019-02-05 21:27:14.658971,3.8000000000000003,114.16180476589108,22.61906804117773,-9.916126893986599
2019-02-05 21:27:14.659005,3.84,115.06656748753818,22.222422965418268,-9.912423821750519
2019-02-05 21:27:14.659039,3.88,115.95546440615492,21.825926012548248,-9.908752725854525
2019-02-05 21:27:14.659073,3.92,116.82850144665684,21.429575903514067,-9.905114059309433
2019-02-05 21:27:14.659107,3.96,117.68568448279741,21.033371341141688,-9.90150835407646
2019-02-05 21:27:14.659141,4.0,118.52701933644308,20.637311006978628,-9.897936222648184
2019-02-05 21:27:14.659176,4.04,119.35251177672222,20.2413935580727,-9.894398359626175
2019-02-05 21:27:14.659210,4.08,120.16216751904513,19.845617623687655,-9.890895543295775
2019-02-05 21:27:14.659245,4.12,120.95599222399264,19.449981801955825,-9.887428637198607
2019-02-05 21:27:14.659278,4.16,121.73399149607087,19.05448465646788,-9.883998591703387
2019-02-05 21:27:14.659311,4.2,122.49617088232958,18.659124712799745,-9.880606445575737
2019-02-05 21:27:14.659345,4.24,123.24253587084156,18.263900454976714,-9.877253327547658
2019-02-05 21:27:14.659379,4.28,123.97309188904063,17.868810321874808,-9.873940457887471
2019-02-05 21:27:14.659413,4.32,124.68784430191562,17.47385270355931,-9.870669149971032
2019-02-05 21:27:14.659447,4.36,125.38679841005799,17.07902593756047,-9.867440811855115
2019-02-05 21:27:14.659481,4.4,126.06995944756041,16.684328305086265,-9.864256947853915
2019-02-05 21:27:14.659518,4.44,126.73733257976386,16.28975802717211,-9.861119160119719
2019-02-05 21:27:14.659575,4.48,127.38892290085074,15.89531326076732,-9.858029150228807
